feature,importance
categorical__node_125,0.001791003515382476
categorical__node_172,0.0017845003517339773
categorical__node_171,0.001765702725708639
categorical__node_95,0.0017459770207705904
categorical__node_199,0.0017236739789732536
categorical__node_198,0.0016279090741824485
categorical__node_220,0.0016268063783608769
categorical__node_83,0.0016141257384184326
categorical__node_78,0.0016060073132632515
categorical__node_228,0.0015655083317028674
categorical__node_29,0.0015318837256107815
categorical__node_89,0.0015119991395425032
categorical__node_151,0.0014547036227239923
categorical__node_254,0.0014463199021100522
categorical__node_36,0.0014113962793996032
categorical__node_41,0.001388245121281181
categorical__node_70,0.0013318913340095487
categorical__node_128,0.0013286516600325951
categorical__node_2,0.0013052606115278745
categorical__node_99,0.0012585231502017986
categorical__node_170,0.0012502152407012118
categorical__node_110,0.0012487617180885432
categorical__node_226,0.0012436881108520224
numeric__failed_jobs,0.001215634885653683
numeric__failed_job_ratio,0.0011810156248370164
categorical__node_189,0.0011792237020400568
categorical__node_90,0.0011747819853075688
categorical__node_191,0.0011732610923874168
categorical__node_152,0.0011392353528414056
categorical__node_109,0.0011234590091763646
categorical__node_8,0.0010979317415032947
categorical__node_178,0.0010849148461289314
categorical__node_238,0.0010707473738771596
categorical__node_251,0.001032637842041309
categorical__node_188,0.0010019485819379899
categorical__node_42,0.000990108938252698
categorical__node_157,0.0009785336143264334
categorical__node_234,0.0009630160581120934
categorical__node_182,0.0009359294842992544
categorical__node_176,0.000929611595394372
categorical__node_14,0.0009275049286080379
categorical__node_227,0.0009083046873919287
categorical__node_242,0.0009033428481517799
categorical__node_129,0.0008787914791036127
categorical__node_200,0.0008488425952156725
categorical__node_241,0.0008481180266097135
categorical__node_215,0.0008468165383649849
categorical__node_159,0.0008411921853992376
categorical__node_174,0.0008280031431940215
categorical__node_104,0.0008224583874974852
categorical__node_147,0.0008218426974055926
categorical__node_201,0.000802676600338096
categorical__node_179,0.0007844760821238521
categorical__node_98,0.0007827595603196641
categorical__node_32,0.000779256904462074
categorical__node_214,0.0007792217761100036
categorical__node_49,0.0007783903177597147
categorical__node_141,0.0007737013410950441
categorical__node_243,0.0007644073977825347
categorical__node_211,0.0007538436610535023
categorical__node_76,0.0007476619758380926
categorical__node_91,0.0007285027366035235
categorical__node_240,0.0007161196836333962
categorical__node_249,0.0007047261956602888
categorical__node_217,0.0006995308944998034
categorical__node_134,0.0006663208176778751
categorical__node_206,0.0006535515349785731
categorical__node_12,0.0006468857454172101
categorical__node_146,0.0006468116121732155
categorical__node_40,0.0006354555556523152
categorical__node_250,0.0006327193550057426
categorical__node_155,0.00063166090097196
categorical__node_85,0.0006112827209886979
categorical__node_208,0.0006098334654556577
categorical__node_94,0.0006034493294049615
categorical__node_175,0.0006013896563940543
categorical__node_148,0.0005937874404032414
categorical__node_10,0.0005890759617869365
categorical__node_235,0.0005860815435762546
categorical__node_102,0.0005810783294814392
categorical__node_158,0.0005754180474035014
categorical__node_130,0.0005688754171764702
categorical__node_245,0.0005672667780093751
categorical__node_34,0.000563076977718549
categorical__node_74,0.0005424819204773767
categorical__node_48,0.0005408560373513502
categorical__node_169,0.0005388752050827207
categorical__node_248,0.0005344406503246964
categorical__node_187,0.0005342770214497111
categorical__node_180,0.0005283717619568481
categorical__node_246,0.0005057502756065481
categorical__node_103,0.0004859768201068479
categorical__node_185,0.00047218433876685924
categorical__node_183,0.0004614478738974311
categorical__node_13,0.0004605102700264544
categorical__node_181,0.0004591754366294773
categorical__node_24,0.00045699698613848845
categorical__node_229,0.0004489267305888789
categorical__node_56,0.00044814485312062914
categorical__node_163,0.00044489136939386347
categorical__node_66,0.0004268408834725716
categorical__node_6,0.0004255488425319616
categorical__node_233,0.00041622720620827775
categorical__node_50,0.00041167908626699135
categorical__node_16,0.00039417404836297883
categorical__node_253,0.0003915207312591726
categorical__node_11,0.0003877732526790065
categorical__node_68,0.0003751379733294427
categorical__node_108,0.0003684485101441582
categorical__node_27,0.00036783969759031447
categorical__node_75,0.00036361651199674305
categorical__node_131,0.0003631368636223852
categorical__node_140,0.0003581408114326197
categorical__node_255,0.0003581309716366009
categorical__node_145,0.0003576621806052472
categorical__node_190,0.0003474180559622324
categorical__node_166,0.0003448361537757844
categorical__node_232,0.0003416670618809428
categorical__node_86,0.0003404541840608587
