feature,coefficient,abs_coefficient
categorical__node_195,-0.9361088084892687,0.9361088084892687
categorical__node_181,-0.935875985445322,0.935875985445322
categorical__node_130,-0.9297506461174345,0.9297506461174345
categorical__node_193,-0.9272734332098663,0.9272734332098663
categorical__node_131,-0.9262893270124192,0.9262893270124192
categorical__node_95,-0.9259399088714709,0.9259399088714709
categorical__node_62,-0.9225996556539287,0.9225996556539287
categorical__node_63,-0.9217271549638364,0.9217271549638364
categorical__node_5,0.919447663450607,0.919447663450607
categorical__node_158,-0.918542887123062,0.918542887123062
categorical__node_221,-0.9160121797286079,0.9160121797286079
categorical__node_218,0.9095601955204411,0.9095601955204411
categorical__node_155,-0.9053635053384995,0.9053635053384995
categorical__node_247,-0.9051128928749367,0.9051128928749367
categorical__node_255,-0.9019072699956858,0.9019072699956858
categorical__node_159,-0.9010172046568768,0.9010172046568768
categorical__node_120,0.8988182831274297,0.8988182831274297
categorical__node_23,-0.8977638436549864,0.8977638436549864
categorical__node_242,-0.8971058572800947,0.8971058572800947
categorical__node_156,-0.8955936944859609,0.8955936944859609
categorical__node_138,-0.8890635333737033,0.8890635333737033
categorical__node_160,0.8886720977313302,0.8886720977313302
categorical__node_177,0.8873695750739814,0.8873695750739814
categorical__node_197,0.8804778594411389,0.8804778594411389
categorical__node_12,-0.8793982314779161,0.8793982314779161
categorical__node_16,-0.8737324042195519,0.8737324042195519
categorical__node_8,0.8722947587536253,0.8722947587536253
categorical__node_82,0.8672582986150627,0.8672582986150627
categorical__node_162,0.8568612526985057,0.8568612526985057
categorical__node_142,0.8561234825577467,0.8561234825577467
categorical__node_240,-0.8518706839608451,0.8518706839608451
categorical__node_136,0.8512165546309749,0.8512165546309749
categorical__node_228,-0.8504224298178256,0.8504224298178256
categorical__node_13,-0.845437903406294,0.845437903406294
categorical__node_246,-0.8450173855242621,0.8450173855242621
categorical__node_28,-0.8449275551081384,0.8449275551081384
categorical__node_26,-0.8427101154557322,0.8427101154557322
categorical__node_237,0.8403054429203779,0.8403054429203779
categorical__node_236,-0.8394028783477666,0.8394028783477666
categorical__node_31,-0.8314350457548106,0.8314350457548106
categorical__node_22,-0.8308226234274672,0.8308226234274672
