feature,importance
numeric__finished_jobs,0.0008804179137541562
categorical__node_255,0.0008745068023960841
categorical__node_163,0.0008720279653819252
categorical__node_150,0.0008684455792846647
categorical__node_79,0.000847960767888428
categorical__node_210,0.0008367090260598765
numeric__weekend_jobs,0.0008245916707082297
categorical__node_139,0.0008157237563049063
categorical__node_216,0.0007996776863588056
categorical__node_84,0.0007765300089916929
numeric__job_count_lag_1h,0.0007451399114777502
categorical__node_118,0.0007261577684594589
categorical__node_43,0.0006936866994842118
categorical__node_18,0.0006698325404671512
categorical__node_1,0.0006665557420468555
categorical__node_63,0.0006535613344282291
categorical__node_235,0.0006532307495539227
categorical__node_218,0.0006445302853094985
categorical__node_251,0.0006420258158303797
categorical__node_40,0.0006332535946712769
categorical__node_199,0.0006297953053838042
numeric__failed_jobs,0.0006149778261374017
categorical__node_123,0.0006117371182185854
categorical__node_82,0.0006077618218825622
numeric__total_cpu_system_time,0.0006022198820588034
categorical__node_172,0.0005976942190937193
numeric__other_status_jobs,0.0005938017030260528
categorical__node_202,0.000589364232423386
categorical__node_119,0.0005865255123781277
categorical__node_68,0.000584726437022679
categorical__node_136,0.000576702142768826
categorical__node_238,0.0005657818222581602
categorical__node_167,0.0005545159693847796
categorical__node_33,0.0005476300409094475
categorical__node_19,0.0005363647849953025
categorical__node_205,0.000532401050910025
categorical__node_106,0.0005234406375341272
categorical__node_113,0.0005181573241460982
categorical__node_153,0.0005142320541208379
categorical__node_52,0.0005098143846494368
categorical__node_149,0.0004969288019255091
categorical__node_17,0.0004813181938921526
categorical__node_100,0.00046654706854290935
categorical__node_249,0.0004616136019003477
categorical__node_115,0.00046030993313187125
categorical__node_245,0.0004503083452499898
categorical__node_69,0.00044283588215766645
categorical__node_147,0.00043007467649495447
categorical__node_252,0.0004277997513666028
categorical__node_85,0.0004263371427205406
categorical__node_133,0.00041417895198012897
categorical__node_197,0.0004125740551560176
categorical__node_165,0.00041053660802018544
categorical__node_234,0.00039531254073700285
categorical__node_109,0.000391639551860061
categorical__node_74,0.00038552853140276
categorical__node_14,0.00036707979801612933
categorical__node_214,0.0003630878573758916
categorical__node_173,0.0003557917444552111
categorical__node_233,0.0003540557342785887
categorical__node_129,0.00035299155341090487
categorical__node_66,0.0003519555930476844
categorical__node_203,0.000350261953678518
categorical__node_86,0.0003451511375809704
categorical__node_71,0.00034384501507798244
categorical__node_193,0.00033995465237733353
categorical__node_6,0.0003375560765963402
categorical__node_137,0.0003367851900960775
categorical__node_219,0.00033021138921644224
categorical__node_232,0.00032997540923378416
categorical__node_221,0.00032547578288808567
numeric__failed_job_ratio,0.00032508623787694734
categorical__node_91,0.0003070961657431794
categorical__node_56,0.0003028130714613285
categorical__node_220,0.00029676603505145367
categorical__node_225,0.00028093069489730136
categorical__node_241,0.00027057344347834126
categorical__node_62,0.0002568511513817903
categorical__node_222,0.00025506858511713894
categorical__node_127,0.00025015452171145907
categorical__node_253,0.00024023652821689943
categorical__node_2,0.00023749866545677556
categorical__node_111,0.0002319739685485507
categorical__node_12,0.00022999257489070236
categorical__node_117,0.00022896496032766267
categorical__node_204,0.0002284097638071536
categorical__node_80,0.00022803636133046385
categorical__node_54,0.0002272409715465456
categorical__node_120,0.00021891790176088125
categorical__node_46,0.0002182982204546883
categorical__node_89,0.00021442108786213381
categorical__node_151,0.00021331867336420076
categorical__node_104,0.00021194955159471062
categorical__node_75,0.00020662160058676322
categorical__node_229,0.00020658305677518783
categorical__node_231,0.00020396636734131135
categorical__node_51,0.0002020197260307824
categorical__node_59,0.00020118876870009984
categorical__node_38,0.00019987917019313378
categorical__node_10,0.00019924950923067567
categorical__node_166,0.00018955801432549255
categorical__node_102,0.00017882595438993633
categorical__node_236,0.00017701519106861689
categorical__node_200,0.00017425271486130113
categorical__node_23,0.00017163285255975794
categorical__node_11,0.00016467866751769539
categorical__node_209,0.00016226387401041095
categorical__node_156,0.00016190882350196827
categorical__node_29,0.00015596204586840572
categorical__node_248,0.00015594107608862473
categorical__node_201,0.00015253028244829032
categorical__node_110,0.00014811818161478382
categorical__node_184,0.0001447916929514875
categorical__node_48,0.00014251608726927812
categorical__node_217,0.00014077237502343952
categorical__node_37,0.00013733455236725257
categorical__node_94,0.00013415356850637937
categorical__node_211,0.00013142647088961492
categorical__node_45,0.0001268174156394272
categorical__node_76,0.00012539153427951582
categorical__node_122,0.00012367404798745052
categorical__node_187,0.00012267621468600392
categorical__node_243,0.00012085881638302627
categorical__node_88,0.00012012126464512797
categorical__node_168,0.00011732458960344943
categorical__node_57,0.00011467738453111114
categorical__node_175,0.00011228467145714326
categorical__node_34,0.0001115112828768827
categorical__node_185,0.00011026023923082419
categorical__node_131,0.00010720031961431573
categorical__node_181,0.00010600471943927528
categorical__node_254,0.00010494147216134103
categorical__node_15,0.00010046499994781801
categorical__node_171,9.970027923874176e-05
categorical__node_16,9.582726642893282e-05
categorical__node_227,9.514009403443089e-05
categorical__node_164,9.499672401877137e-05
categorical__node_126,9.220210856085197e-05
categorical__node_44,9.137127768076239e-05
categorical__node_141,8.753200767780077e-05
categorical__node_223,8.468775853051731e-05
categorical__node_53,8.424510361908025e-05
categorical__node_20,7.917627084568383e-05
categorical__node_142,7.902165175253309e-05
categorical__node_152,7.777742091691537e-05
categorical__node_244,7.45112025670521e-05
